STUDY,YEAR,REP,ROTATION,TILLAGE,DEPTH,PLOT,POMN,POMC,WSA
SQM,2018,1,SWCcc,min,0to3,101,101,1594,27.3
SQM,2018,1,SWCcc,no,0to3,102,132,1901,16.8
SQM,2018,1,SWCcc,no,0to3,103,106,1755,24.5
SQM,2018,1,SWCcc,min,0to3,104,130,2341,13.8
SQM,2018,1,SWCcc,no,0to3,105,106,1909,38.6
SQM,2018,1,SWCcc,min,0to3,106,90,1425,30.3
SQM,2018,1,SWS,no,0to3,109,108,1673,21.9
SQM,2018,1,SWS,min,0to3,110,100,1870,13.5
SQM,2018,1,SWS,no,0to3,111,171,2903,31.4
SQM,2018,1,SWS,min,0to3,112,89,1433,28.1
SQM,2018,1,SWCS,min,0to3,115,84,1503,10.4
SQM,2018,1,SWCS,no,0to3,116,108,1938,15.9
SQM,2018,1,SWCS,no,0to3,117,82,1337,14.8
SQM,2018,1,SWCS,min,0to3,118,95,1580,16.5
SQM,2018,1,SWCS,no,0to3,119,86,1319,32.4
SQM,2018,1,SWCS,min,0to3,120,71,1132,14.9
SQM,2018,2,SWCcc,no,0to3,205,119,2210,21.0
SQM,2018,2,SWCcc,min,0to3,206,124,2199,22.2
SQM,2018,2,SWCcc,no,0to3,207,116,2106,20.7
SQM,2018,2,SWCcc,min,0to3,208,86,1573,13.4
SQM,2018,2,SWCcc,no,0to3,209,92,1643,30.7
SQM,2018,2,SWCcc,min,0to3,210,101,1731,10.3
SQM,2018,2,SWCS,min,0to3,211,121,2198,18.5
SQM,2018,2,SWCS,no,0to3,212,92,1196,22.5
SQM,2018,2,SWCS,min,0to3,213,80,1513,17.6
SQM,2018,2,SWCS,no,0to3,214,93,1421,17.6
SQM,2018,2,SWCS,min,0to3,215,73,1296,15.8
SQM,2018,2,SWCS,no,0to3,216,96,1609,19.4
SQM,2018,2,SWS,no,0to3,217,102,1539,28.1
SQM,2018,2,SWS,min,0to3,218,79,1214,18.2
SQM,2018,2,SWS,no,0to3,219,142,2231,29.7
SQM,2018,2,SWS,min,0to3,220,60,1249,20.8
SQM,2018,3,SWS,min,0to3,301,83,1557,34.2
SQM,2018,3,SWS,no,0to3,302,73,1308,33.7
SQM,2018,3,SWS,no,0to3,303,76,1308,27.8
SQM,2018,3,SWS,min,0to3,304,74,1488,25.1
SQM,2018,3,SWCS,min,0to3,307,88,1607,17.3
SQM,2018,3,SWCS,no,0to3,308,91,1550,18.2
SQM,2018,3,SWCS,no,0to3,309,91,1330,16.0
SQM,2018,3,SWCS,min,0to3,310,70,1098,26.8
SQM,2018,3,SWCS,no,0to3,311,92,1458,24.1
SQM,2018,3,SWCS,min,0to3,312,68,1156,23.7
SQM,2018,3,SWCcc,min,0to3,319,85,1678,21.7
SQM,2018,3,SWCcc,no,0to3,320,92,1191,18.4
SQM,2018,3,SWCcc,min,0to3,321,71,1463,33.3
SQM,2018,3,SWCcc,no,0to3,322,105,1772,33.2
SQM,2018,3,SWCcc,no,0to3,323,88,1501,23.3
SQM,2018,3,SWCcc,min,0to3,324,69,1174,18.1
